aerolinea,origen,destino,distancia_km,fecha_partida,retraso,target_texto,fecha_iso
LA,BOG,LIM,10806,2025-02-28 17:08:00,1,Retrasado,2025-02-28T17:08:00
AR,AEP,EZE,11444,2025-04-29 20:29:00,1,Retrasado,2025-04-29T20:29:00
G3,AEP,EZE,11860,2025-01-09 07:41:00,1,Retrasado,2025-01-09T07:41:00
IB,GRU,LIM,2054,2025-08-16 01:46:00,0,Puntual,2025-08-16T01:46:00
LA,GRU,AEP,6615,2025-07-16 18:43:00,1,Retrasado,2025-07-16T18:43:00
LA,SCL,BOG,5937,2025-01-27 06:53:00,0,Puntual,2025-01-27T06:53:00
AA,GRU,MAD,6741,2025-04-05 22:38:00,0,Puntual,2025-04-05T22:38:00
AA,LIM,GRU,9772,2025-05-04 14:37:00,0,Puntual,2025-05-04T14:37:00
G3,SCL,MAD,587,2025-05-02 12:39:00,0,Puntual,2025-05-02T12:39:00
G3,GRU,EZE,7615,2025-04-10 08:23:00,0,Puntual,2025-04-10T08:23:00
AR,AEP,SCL,11392,2025-11-27 17:08:00,0,Puntual,2025-11-27T17:08:00
AR,MAD,AEP,3203,2025-01-25 19:23:00,1,Retrasado,2025-01-25T19:23:00
G3,MAD,AEP,11651,2025-09-03 17:17:00,1,Retrasado,2025-09-03T17:17:00
G3,SCL,MIA,2918,2025-08-02 03:35:00,0,Puntual,2025-08-02T03:35:00
IB,GRU,AEP,11114,2025-02-22 04:51:00,0,Puntual,2025-02-22T04:51:00
AA,LIM,AEP,4647,2025-10-11 10:28:00,0,Puntual,2025-10-11T10:28:00
AR,MIA,BOG,2247,2025-12-28 09:42:00,0,Puntual,2025-12-28T09:42:00
AA,EZE,GRU,8732,2025-09-25 18:42:00,0,Puntual,2025-09-25T18:42:00
AA,BOG,MIA,10830,2025-09-13 14:52:00,0,Puntual,2025-09-13T14:52:00
G3,LIM,EZE,538,2025-09-11 22:16:00,1,Retrasado,2025-09-11T22:16:00
IB,MIA,GRU,11776,2025-10-07 23:22:00,0,Puntual,2025-10-07T23:22:00
LA,BOG,MAD,7543,2025-08-30 00:03:00,0,Puntual,2025-08-30T00:03:00
IB,MIA,MIA,2651,2025-04-12 00:19:00,0,Puntual,2025-04-12T00:19:00
IB,MIA,MIA,4437,2025-11-18 01:57:00,0,Puntual,2025-11-18T01:57:00
AA,SCL,MIA,7386,2025-06-09 09:06:00,1,Retrasado,2025-06-09T09:06:00
IB,MAD,AEP,10782,2025-10-25 15:51:00,0,Puntual,2025-10-25T15:51:00
AR,EZE,GRU,708,2025-12-06 15:35:00,0,Puntual,2025-12-06T15:35:00
AA,MIA,SCL,1099,2025-06-19 12:05:00,0,Puntual,2025-06-19T12:05:00
AR,GRU,MAD,9296,2025-10-23 04:24:00,0,Puntual,2025-10-23T04:24:00
LA,BOG,AEP,11215,2025-10-31 04:50:00,0,Puntual,2025-10-31T04:50:00
AA,LIM,AEP,4209,2025-01-22 20:15:00,0,Puntual,2025-01-22T20:15:00
LA,MAD,LIM,10848,2025-08-17 06:24:00,1,Retrasado,2025-08-17T06:24:00
AA,BOG,LIM,8226,2025-12-13 05:19:00,0,Puntual,2025-12-13T05:19:00
G3,SCL,LIM,713,2025-04-13 18:33:00,0,Puntual,2025-04-13T18:33:00
IB,GRU,BOG,6223,2025-10-23 09:55:00,0,Puntual,2025-10-23T09:55:00
G3,GRU,SCL,7052,2025-03-13 10:55:00,0,Puntual,2025-03-13T10:55:00
LA,MIA,EZE,10268,2025-01-24 02:35:00,0,Puntual,2025-01-24T02:35:00
IB,GRU,MIA,11510,2025-03-25 00:44:00,0,Puntual,2025-03-25T00:44:00
AA,EZE,MAD,10816,2025-04-26 07:13:00,0,Puntual,2025-04-26T07:13:00
IB,SCL,MIA,6738,2025-10-12 00:18:00,0,Puntual,2025-10-12T00:18:00
AR,GRU,MIA,8960,2025-05-09 16:05:00,0,Puntual,2025-05-09T16:05:00
IB,MIA,EZE,2908,2025-05-11 12:54:00,0,Puntual,2025-05-11T12:54:00
AR,BOG,AEP,11269,2025-10-28 08:50:00,0,Puntual,2025-10-28T08:50:00
IB,SCL,EZE,8472,2025-05-31 04:32:00,0,Puntual,2025-05-31T04:32:00
AR,GRU,AEP,5278,2025-11-10 15:11:00,0,Puntual,2025-11-10T15:11:00
LA,MAD,SCL,1322,2025-08-28 07:24:00,1,Retrasado,2025-08-28T07:24:00
G3,SCL,LIM,6600,2025-08-05 12:46:00,0,Puntual,2025-08-05T12:46:00
AA,SCL,EZE,3095,2025-09-01 05:06:00,0,Puntual,2025-09-01T05:06:00
IB,LIM,AEP,8617,2025-11-24 08:34:00,0,Puntual,2025-11-24T08:34:00
G3,MAD,MIA,4453,2025-02-04 08:56:00,0,Puntual,2025-02-04T08:56:00
AA,MAD,LIM,4331,2025-09-11 21:47:00,0,Puntual,2025-09-11T21:47:00
AA,BOG,LIM,10791,2025-08-04 05:35:00,0,Puntual,2025-08-04T05:35:00
AR,AEP,LIM,5083,2025-12-06 17:34:00,1,Retrasado,2025-12-06T17:34:00
LA,LIM,MIA,6735,2025-05-11 18:27:00,0,Puntual,2025-05-11T18:27:00
LA,MAD,MIA,9342,2025-12-16 23:14:00,1,Retrasado,2025-12-16T23:14:00
G3,MAD,MIA,8483,2025-09-16 08:09:00,0,Puntual,2025-09-16T08:09:00
LA,AEP,LIM,7000,2025-12-14 07:10:00,0,Puntual,2025-12-14T07:10:00
IB,BOG,EZE,6351,2025-12-18 20:51:00,1,Retrasado,2025-12-18T20:51:00
LA,LIM,AEP,2134,2025-09-27 23:50:00,0,Puntual,2025-09-27T23:50:00
G3,MAD,MIA,5314,2025-09-24 08:54:00,0,Puntual,2025-09-24T08:54:00
LA,MIA,EZE,1667,2025-05-14 02:27:00,0,Puntual,2025-05-14T02:27:00
IB,BOG,AEP,4576,2025-04-24 08:30:00,0,Puntual,2025-04-24T08:30:00
AR,LIM,MIA,8890,2025-06-25 11:00:00,0,Puntual,2025-06-25T11:00:00
G3,MAD,EZE,7458,2025-08-24 16:21:00,0,Puntual,2025-08-24T16:21:00
AR,MAD,LIM,5942,2025-01-19 11:31:00,0,Puntual,2025-01-19T11:31:00
AR,AEP,BOG,10047,2025-08-02 20:17:00,1,Retrasado,2025-08-02T20:17:00
AR,LIM,MIA,6860,2025-04-19 08:27:00,0,Puntual,2025-04-19T08:27:00
AA,MIA,GRU,7199,2025-07-31 15:25:00,0,Puntual,2025-07-31T15:25:00
AA,BOG,EZE,4005,2025-05-31 00:50:00,0,Puntual,2025-05-31T00:50:00
AR,GRU,MIA,1302,2025-03-05 11:38:00,0,Puntual,2025-03-05T11:38:00
G3,EZE,MAD,8127,2025-02-19 01:51:00,0,Puntual,2025-02-19T01:51:00
IB,MIA,AEP,9392,2025-03-21 06:08:00,0,Puntual,2025-03-21T06:08:00
IB,GRU,BOG,1002,2025-06-30 05:34:00,0,Puntual,2025-06-30T05:34:00
LA,MIA,MIA,6325,2025-04-07 23:54:00,0,Puntual,2025-04-07T23:54:00
G3,LIM,MAD,11105,2025-03-29 12:03:00,0,Puntual,2025-03-29T12:03:00
AA,GRU,EZE,8439,2025-12-16 00:11:00,1,Retrasado,2025-12-16T00:11:00
AR,LIM,EZE,6532,2025-05-11 18:37:00,1,Retrasado,2025-05-11T18:37:00
LA,GRU,MAD,7906,2025-03-05 14:42:00,0,Puntual,2025-03-05T14:42:00
IB,MIA,BOG,5219,2025-07-21 18:05:00,0,Puntual,2025-07-21T18:05:00
AA,AEP,MAD,8248,2025-03-23 08:54:00,0,Puntual,2025-03-23T08:54:00
AA,MIA,AEP,11659,2025-08-09 22:49:00,0,Puntual,2025-08-09T22:49:00
AR,LIM,EZE,3370,2025-01-01 13:39:00,1,Retrasado,2025-01-01T13:39:00
IB,MIA,MAD,5258,2025-04-26 14:15:00,0,Puntual,2025-04-26T14:15:00
G3,SCL,GRU,6468,2025-11-24 17:00:00,0,Puntual,2025-11-24T17:00:00
AA,SCL,GRU,10110,2025-02-19 17:25:00,0,Puntual,2025-02-19T17:25:00
AR,GRU,MAD,1598,2025-07-05 23:04:00,0,Puntual,2025-07-05T23:04:00
G3,SCL,AEP,3669,2025-09-11 01:52:00,0,Puntual,2025-09-11T01:52:00
IB,EZE,MIA,882,2025-11-30 08:26:00,0,Puntual,2025-11-30T08:26:00
AA,GRU,MIA,8290,2025-05-22 21:09:00,1,Retrasado,2025-05-22T21:09:00
G3,SCL,MAD,4440,2025-06-24 06:31:00,1,Retrasado,2025-06-24T06:31:00
G3,MAD,LIM,10085,2025-06-27 16:02:00,1,Retrasado,2025-06-27T16:02:00
G3,MIA,MAD,7952,2025-03-22 01:30:00,0,Puntual,2025-03-22T01:30:00
AA,BOG,MIA,6952,2025-09-16 17:37:00,1,Retrasado,2025-09-16T17:37:00
AA,MIA,MAD,10344,2025-12-24 20:43:00,1,Retrasado,2025-12-24T20:43:00
LA,SCL,AEP,4771,2025-12-26 09:28:00,0,Puntual,2025-12-26T09:28:00
IB,AEP,GRU,4823,2025-09-30 07:58:00,0,Puntual,2025-09-30T07:58:00
AR,LIM,MIA,11086,2025-06-18 01:50:00,0,Puntual,2025-06-18T01:50:00
G3,BOG,GRU,2538,2025-07-03 18:31:00,1,Retrasado,2025-07-03T18:31:00
LA,GRU,MIA,5961,2025-03-11 05:02:00,0,Puntual,2025-03-11T05:02:00
AR,AEP,MIA,8563,2025-02-12 09:25:00,1,Retrasado,2025-02-12T09:25:00
LA,MIA,MAD,2485,2025-09-04 08:18:00,0,Puntual,2025-09-04T08:18:00
AA,SCL,AEP,1762,2025-03-22 02:57:00,0,Puntual,2025-03-22T02:57:00
G3,GRU,MAD,6231,2025-06-06 01:16:00,0,Puntual,2025-06-06T01:16:00
AR,GRU,MIA,5616,2025-05-23 10:27:00,0,Puntual,2025-05-23T10:27:00
AR,MAD,AEP,10403,2025-03-12 11:10:00,0,Puntual,2025-03-12T11:10:00
AR,MAD,AEP,849,2025-01-01 13:45:00,1,Retrasado,2025-01-01T13:45:00
AR,SCL,LIM,940,2025-04-02 20:23:00,0,Puntual,2025-04-02T20:23:00
AR,SCL,BOG,3308,2025-10-01 00:05:00,0,Puntual,2025-10-01T00:05:00
LA,EZE,MIA,3062,2025-05-16 02:42:00,0,Puntual,2025-05-16T02:42:00
G3,MAD,AEP,3652,2025-11-25 18:59:00,1,Retrasado,2025-11-25T18:59:00
AA,LIM,BOG,10076,2025-07-29 12:17:00,0,Puntual,2025-07-29T12:17:00
AA,BOG,SCL,8979,2025-09-05 12:49:00,0,Puntual,2025-09-05T12:49:00
AA,GRU,EZE,10747,2025-06-01 19:53:00,0,Puntual,2025-06-01T19:53:00
AA,MAD,LIM,9689,2025-05-29 06:45:00,0,Puntual,2025-05-29T06:45:00
LA,SCL,MAD,2833,2025-06-02 10:22:00,0,Puntual,2025-06-02T10:22:00
IB,EZE,SCL,10114,2025-04-25 14:47:00,0,Puntual,2025-04-25T14:47:00
G3,SCL,MAD,573,2025-10-18 10:08:00,1,Retrasado,2025-10-18T10:08:00
AR,SCL,MAD,10154,2025-05-02 09:28:00,0,Puntual,2025-05-02T09:28:00
IB,SCL,BOG,11886,2025-04-02 21:09:00,0,Puntual,2025-04-02T21:09:00
AA,MIA,BOG,8044,2025-05-09 11:09:00,0,Puntual,2025-05-09T11:09:00
IB,BOG,EZE,7449,2025-04-01 10:57:00,0,Puntual,2025-04-01T10:57:00
G3,MAD,MIA,2705,2025-03-05 22:15:00,0,Puntual,2025-03-05T22:15:00
AR,GRU,MIA,9121,2025-03-06 02:12:00,0,Puntual,2025-03-06T02:12:00
AR,MIA,SCL,1971,2025-10-15 19:16:00,0,Puntual,2025-10-15T19:16:00
G3,SCL,AEP,3981,2025-11-03 06:14:00,0,Puntual,2025-11-03T06:14:00
G3,LIM,BOG,8038,2025-05-27 05:10:00,1,Retrasado,2025-05-27T05:10:00
AA,GRU,BOG,3680,2025-10-24 03:23:00,0,Puntual,2025-10-24T03:23:00
AR,MIA,BOG,2230,2025-02-24 09:05:00,0,Puntual,2025-02-24T09:05:00
IB,LIM,EZE,535,2025-11-27 00:55:00,0,Puntual,2025-11-27T00:55:00
LA,LIM,MAD,1520,2025-05-09 11:12:00,0,Puntual,2025-05-09T11:12:00
LA,BOG,GRU,6034,2025-01-08 06:07:00,1,Retrasado,2025-01-08T06:07:00
G3,GRU,AEP,10689,2025-06-24 19:40:00,1,Retrasado,2025-06-24T19:40:00
AA,MAD,AEP,7661,2025-02-21 10:05:00,1,Retrasado,2025-02-21T10:05:00
LA,MAD,MIA,8509,2025-01-12 04:54:00,0,Puntual,2025-01-12T04:54:00
AR,EZE,GRU,11452,2025-06-26 22:59:00,0,Puntual,2025-06-26T22:59:00
G3,MIA,EZE,3617,2025-03-16 05:29:00,0,Puntual,2025-03-16T05:29:00
IB,EZE,BOG,3035,2025-10-14 05:12:00,0,Puntual,2025-10-14T05:12:00
G3,AEP,BOG,5214,2025-05-26 17:46:00,1,Retrasado,2025-05-26T17:46:00
IB,MAD,SCL,8837,2025-02-11 06:05:00,0,Puntual,2025-02-11T06:05:00
G3,MIA,SCL,5463,2025-03-21 16:44:00,0,Puntual,2025-03-21T16:44:00
G3,BOG,SCL,6591,2025-08-18 22:10:00,1,Retrasado,2025-08-18T22:10:00
G3,EZE,LIM,1526,2025-02-02 23:37:00,0,Puntual,2025-02-02T23:37:00
IB,BOG,MAD,4165,2025-02-05 16:59:00,0,Puntual,2025-02-05T16:59:00
IB,BOG,AEP,1786,2025-09-23 13:26:00,0,Puntual,2025-09-23T13:26:00
G3,SCL,BOG,3346,2025-04-06 00:45:00,1,Retrasado,2025-04-06T00:45:00
LA,SCL,LIM,9012,2025-11-11 03:51:00,0,Puntual,2025-11-11T03:51:00
AA,BOG,AEP,8274,2025-11-17 10:53:00,1,Retrasado,2025-11-17T10:53:00
AA,EZE,AEP,2793,2025-12-27 09:20:00,0,Puntual,2025-12-27T09:20:00
AA,SCL,MAD,2112,2025-09-03 03:30:00,0,Puntual,2025-09-03T03:30:00
IB,AEP,MIA,976,2025-11-12 18:03:00,0,Puntual,2025-11-12T18:03:00
IB,LIM,SCL,7926,2025-02-07 20:21:00,0,Puntual,2025-02-07T20:21:00
LA,LIM,MIA,11856,2025-02-12 22:55:00,0,Puntual,2025-02-12T22:55:00
AA,SCL,MIA,10518,2025-03-09 20:55:00,1,Retrasado,2025-03-09T20:55:00
AA,EZE,MIA,9474,2025-06-24 22:48:00,0,Puntual,2025-06-24T22:48:00
G3,LIM,MIA,2447,2025-03-05 18:22:00,1,Retrasado,2025-03-05T18:22:00
IB,GRU,MIA,3831,2025-08-21 06:56:00,0,Puntual,2025-08-21T06:56:00
AA,LIM,SCL,5760,2025-11-04 13:49:00,0,Puntual,2025-11-04T13:49:00
LA,MAD,MIA,6566,2025-12-04 05:03:00,1,Retrasado,2025-12-04T05:03:00
LA,EZE,LIM,8147,2025-11-27 15:20:00,0,Puntual,2025-11-27T15:20:00
AA,SCL,AEP,5969,2025-05-25 22:33:00,0,Puntual,2025-05-25T22:33:00
IB,SCL,LIM,2093,2025-10-18 04:20:00,0,Puntual,2025-10-18T04:20:00
LA,LIM,BOG,10439,2025-01-04 21:59:00,0,Puntual,2025-01-04T21:59:00
G3,EZE,LIM,10725,2025-06-07 14:18:00,1,Retrasado,2025-06-07T14:18:00
LA,AEP,GRU,8204,2025-07-16 08:04:00,0,Puntual,2025-07-16T08:04:00
AR,GRU,SCL,6654,2025-07-20 18:38:00,1,Retrasado,2025-07-20T18:38:00
AR,SCL,MIA,756,2025-12-26 19:50:00,0,Puntual,2025-12-26T19:50:00
IB,EZE,MIA,7012,2025-11-01 13:49:00,0,Puntual,2025-11-01T13:49:00
AA,SCL,EZE,3491,2025-09-18 16:46:00,0,Puntual,2025-09-18T16:46:00
IB,SCL,MIA,1917,2025-06-07 17:58:00,0,Puntual,2025-06-07T17:58:00
IB,MAD,SCL,8260,2025-02-03 01:32:00,0,Puntual,2025-02-03T01:32:00
IB,LIM,GRU,8465,2025-10-18 06:17:00,1,Retrasado,2025-10-18T06:17:00
IB,MAD,GRU,4614,2025-06-29 16:55:00,0,Puntual,2025-06-29T16:55:00
G3,LIM,MAD,8801,2025-07-12 10:34:00,0,Puntual,2025-07-12T10:34:00
G3,SCL,BOG,3052,2025-07-26 22:31:00,1,Retrasado,2025-07-26T22:31:00
LA,EZE,GRU,9749,2025-01-17 01:03:00,1,Retrasado,2025-01-17T01:03:00
AR,BOG,LIM,5907,2025-11-09 23:35:00,1,Retrasado,2025-11-09T23:35:00
IB,LIM,BOG,5233,2025-06-06 13:45:00,0,Puntual,2025-06-06T13:45:00
LA,BOG,MAD,2542,2025-12-15 21:18:00,0,Puntual,2025-12-15T21:18:00
AR,GRU,LIM,2681,2025-11-27 14:23:00,0,Puntual,2025-11-27T14:23:00
AA,MAD,SCL,4992,2025-08-13 06:11:00,0,Puntual,2025-08-13T06:11:00
G3,BOG,EZE,4058,2025-04-13 18:56:00,1,Retrasado,2025-04-13T18:56:00
AR,MAD,AEP,10313,2025-12-09 03:49:00,0,Puntual,2025-12-09T03:49:00
AA,LIM,AEP,4158,2025-08-03 16:08:00,1,Retrasado,2025-08-03T16:08:00
AR,LIM,MIA,3194,2025-02-02 13:33:00,0,Puntual,2025-02-02T13:33:00
G3,GRU,SCL,4384,2025-12-09 23:28:00,0,Puntual,2025-12-09T23:28:00
G3,LIM,MIA,5280,2025-12-29 10:24:00,1,Retrasado,2025-12-29T10:24:00
LA,SCL,EZE,3784,2025-07-22 18:36:00,0,Puntual,2025-07-22T18:36:00
IB,GRU,AEP,6452,2025-07-05 11:37:00,0,Puntual,2025-07-05T11:37:00
AR,BOG,MIA,8017,2025-08-24 08:37:00,0,Puntual,2025-08-24T08:37:00
AR,LIM,SCL,6662,2025-06-12 07:56:00,0,Puntual,2025-06-12T07:56:00
AA,EZE,BOG,5606,2025-02-05 19:10:00,0,Puntual,2025-02-05T19:10:00
G3,MIA,GRU,2666,2025-02-08 10:58:00,0,Puntual,2025-02-08T10:58:00
AR,AEP,MAD,4897,2025-05-10 03:27:00,0,Puntual,2025-05-10T03:27:00
G3,SCL,LIM,8168,2025-06-18 06:49:00,0,Puntual,2025-06-18T06:49:00
AR,MIA,MIA,3892,2025-05-12 19:29:00,0,Puntual,2025-05-12T19:29:00
LA,MIA,EZE,10962,2025-06-27 18:16:00,0,Puntual,2025-06-27T18:16:00
IB,MAD,LIM,4211,2025-05-27 19:43:00,1,Retrasado,2025-05-27T19:43:00
AR,SCL,AEP,6379,2025-08-20 23:16:00,0,Puntual,2025-08-20T23:16:00
G3,SCL,MIA,2086,2025-07-12 05:59:00,0,Puntual,2025-07-12T05:59:00
LA,GRU,EZE,9906,2025-11-07 04:37:00,0,Puntual,2025-11-07T04:37:00
AR,MAD,MIA,7638,2025-07-03 00:27:00,0,Puntual,2025-07-03T00:27:00
AA,BOG,MAD,8162,2025-04-08 04:14:00,0,Puntual,2025-04-08T04:14:00
IB,AEP,EZE,7904,2025-05-18 17:36:00,1,Retrasado,2025-05-18T17:36:00
AR,BOG,MIA,10337,2025-04-25 09:18:00,0,Puntual,2025-04-25T09:18:00
LA,EZE,MIA,10042,2025-01-21 02:02:00,0,Puntual,2025-01-21T02:02:00
AA,AEP,MIA,11890,2025-03-05 22:59:00,0,Puntual,2025-03-05T22:59:00
LA,MAD,BOG,9056,2025-05-05 22:52:00,0,Puntual,2025-05-05T22:52:00
LA,LIM,AEP,4439,2025-11-12 00:04:00,0,Puntual,2025-11-12T00:04:00
AA,LIM,GRU,3699,2025-08-12 18:36:00,0,Puntual,2025-08-12T18:36:00
LA,MAD,BOG,10318,2025-07-16 19:27:00,1,Retrasado,2025-07-16T19:27:00
AA,BOG,SCL,11893,2025-02-22 22:04:00,0,Puntual,2025-02-22T22:04:00
AR,MAD,LIM,10337,2025-10-09 13:28:00,0,Puntual,2025-10-09T13:28:00
AA,MAD,SCL,7441,2025-12-16 02:47:00,0,Puntual,2025-12-16T02:47:00
AA,MIA,GRU,1481,2025-06-29 08:17:00,0,Puntual,2025-06-29T08:17:00
IB,EZE,AEP,11087,2025-07-30 03:46:00,0,Puntual,2025-07-30T03:46:00
AA,SCL,BOG,10728,2025-04-25 02:50:00,0,Puntual,2025-04-25T02:50:00
AA,LIM,BOG,4052,2025-09-20 21:01:00,0,Puntual,2025-09-20T21:01:00
AR,MIA,GRU,1421,2025-01-13 17:02:00,0,Puntual,2025-01-13T17:02:00
IB,MAD,SCL,4158,2025-07-30 11:18:00,0,Puntual,2025-07-30T11:18:00
G3,GRU,EZE,4495,2025-01-30 11:26:00,1,Retrasado,2025-01-30T11:26:00
AR,MIA,MIA,7564,2025-08-20 18:59:00,1,Retrasado,2025-08-20T18:59:00
AR,MAD,BOG,5552,2025-07-20 03:40:00,1,Retrasado,2025-07-20T03:40:00
G3,LIM,MIA,5906,2025-11-04 08:05:00,0,Puntual,2025-11-04T08:05:00
AA,SCL,LIM,4777,2025-03-17 07:43:00,0,Puntual,2025-03-17T07:43:00
LA,MAD,BOG,1974,2025-12-28 14:32:00,0,Puntual,2025-12-28T14:32:00
IB,EZE,GRU,7598,2025-02-02 08:18:00,0,Puntual,2025-02-02T08:18:00
LA,BOG,MIA,10760,2025-07-07 16:06:00,0,Puntual,2025-07-07T16:06:00
G3,AEP,SCL,4267,2025-01-09 20:34:00,1,Retrasado,2025-01-09T20:34:00
AR,MIA,GRU,11544,2025-04-25 04:35:00,1,Retrasado,2025-04-25T04:35:00
AR,MIA,EZE,7219,2025-11-21 08:42:00,1,Retrasado,2025-11-21T08:42:00
IB,MIA,LIM,9094,2025-11-15 17:53:00,0,Puntual,2025-11-15T17:53:00
AR,MAD,BOG,9839,2025-05-06 15:56:00,1,Retrasado,2025-05-06T15:56:00
AR,SCL,MAD,1112,2025-09-04 21:15:00,0,Puntual,2025-09-04T21:15:00
IB,EZE,AEP,7786,2025-10-25 15:30:00,0,Puntual,2025-10-25T15:30:00
IB,SCL,LIM,10568,2025-08-13 01:08:00,0,Puntual,2025-08-13T01:08:00
G3,MAD,EZE,10305,2025-06-28 01:58:00,1,Retrasado,2025-06-28T01:58:00
AR,MAD,MIA,3517,2025-04-23 14:45:00,0,Puntual,2025-04-23T14:45:00
AR,BOG,LIM,5288,2025-08-02 20:37:00,0,Puntual,2025-08-02T20:37:00
G3,GRU,EZE,10426,2025-05-30 20:28:00,0,Puntual,2025-05-30T20:28:00
AA,EZE,MIA,7602,2025-05-22 07:55:00,1,Retrasado,2025-05-22T07:55:00
AA,MIA,EZE,11611,2025-03-13 09:36:00,0,Puntual,2025-03-13T09:36:00
AA,AEP,EZE,10842,2025-09-11 07:10:00,0,Puntual,2025-09-11T07:10:00
G3,MIA,MIA,11072,2025-05-16 08:20:00,1,Retrasado,2025-05-16T08:20:00
AR,SCL,BOG,10502,2025-03-22 18:51:00,0,Puntual,2025-03-22T18:51:00
G3,MAD,AEP,3701,2025-02-18 13:42:00,0,Puntual,2025-02-18T13:42:00
G3,EZE,SCL,1252,2025-09-06 09:23:00,1,Retrasado,2025-09-06T09:23:00
AA,LIM,MAD,11164,2025-02-22 04:07:00,1,Retrasado,2025-02-22T04:07:00
LA,EZE,LIM,8056,2025-07-08 19:26:00,0,Puntual,2025-07-08T19:26:00
AR,EZE,SCL,1841,2025-01-03 08:51:00,0,Puntual,2025-01-03T08:51:00
AA,GRU,MIA,9196,2025-07-28 18:08:00,0,Puntual,2025-07-28T18:08:00
LA,MIA,AEP,7514,2025-07-22 16:02:00,0,Puntual,2025-07-22T16:02:00
LA,GRU,SCL,7255,2025-03-28 08:39:00,0,Puntual,2025-03-28T08:39:00
IB,LIM,MIA,3982,2025-09-16 00:40:00,0,Puntual,2025-09-16T00:40:00
AR,LIM,EZE,10661,2025-02-28 14:00:00,0,Puntual,2025-02-28T14:00:00
LA,BOG,SCL,8228,2025-08-20 13:20:00,0,Puntual,2025-08-20T13:20:00
AA,SCL,GRU,6065,2025-09-30 03:54:00,0,Puntual,2025-09-30T03:54:00
IB,AEP,MIA,8111,2025-05-04 10:14:00,0,Puntual,2025-05-04T10:14:00
AR,BOG,SCL,8430,2025-05-15 08:53:00,0,Puntual,2025-05-15T08:53:00
G3,MAD,AEP,7017,2025-01-18 11:40:00,0,Puntual,2025-01-18T11:40:00
AA,GRU,BOG,2922,2025-10-28 06:50:00,0,Puntual,2025-10-28T06:50:00
LA,GRU,MAD,9365,2025-11-26 18:00:00,0,Puntual,2025-11-26T18:00:00
LA,BOG,AEP,6485,2025-04-08 05:14:00,1,Retrasado,2025-04-08T05:14:00
AA,MAD,AEP,7447,2025-05-15 14:54:00,1,Retrasado,2025-05-15T14:54:00
LA,EZE,BOG,9284,2025-11-25 11:54:00,0,Puntual,2025-11-25T11:54:00
IB,MAD,GRU,8135,2025-09-20 15:12:00,0,Puntual,2025-09-20T15:12:00
AR,MIA,MIA,11471,2025-10-25 06:22:00,0,Puntual,2025-10-25T06:22:00
IB,BOG,MIA,4168,2025-12-06 02:58:00,0,Puntual,2025-12-06T02:58:00
LA,SCL,LIM,11244,2025-09-13 17:21:00,1,Retrasado,2025-09-13T17:21:00
G3,MAD,MIA,6962,2025-01-10 15:56:00,0,Puntual,2025-01-10T15:56:00
AR,EZE,BOG,3638,2025-01-30 19:41:00,0,Puntual,2025-01-30T19:41:00
AR,MAD,AEP,5009,2025-01-14 16:04:00,0,Puntual,2025-01-14T16:04:00
AA,GRU,MIA,3000,2025-06-20 04:37:00,0,Puntual,2025-06-20T04:37:00
AA,AEP,GRU,3293,2025-12-02 23:07:00,0,Puntual,2025-12-02T23:07:00
G3,GRU,MIA,4793,2025-05-24 14:16:00,0,Puntual,2025-05-24T14:16:00
AR,SCL,MAD,10404,2025-11-10 13:37:00,0,Puntual,2025-11-10T13:37:00
G3,LIM,MIA,11037,2025-07-26 11:10:00,0,Puntual,2025-07-26T11:10:00
AA,AEP,MAD,5899,2025-06-10 03:34:00,0,Puntual,2025-06-10T03:34:00
AA,LIM,MIA,799,2025-09-10 12:14:00,0,Puntual,2025-09-10T12:14:00
AR,MAD,BOG,2406,2025-06-28 22:16:00,0,Puntual,2025-06-28T22:16:00
IB,MIA,EZE,2985,2025-02-11 05:57:00,0,Puntual,2025-02-11T05:57:00
LA,SCL,LIM,7959,2025-07-03 12:38:00,0,Puntual,2025-07-03T12:38:00
AA,MAD,GRU,8898,2025-09-21 05:48:00,0,Puntual,2025-09-21T05:48:00
AA,EZE,AEP,6620,2025-09-03 21:22:00,0,Puntual,2025-09-03T21:22:00
IB,MAD,SCL,8985,2025-11-25 16:55:00,0,Puntual,2025-11-25T16:55:00
IB,AEP,GRU,2373,2025-07-28 05:47:00,0,Puntual,2025-07-28T05:47:00
G3,GRU,EZE,6602,2025-04-30 14:38:00,1,Retrasado,2025-04-30T14:38:00
G3,MIA,AEP,6672,2025-03-04 00:12:00,0,Puntual,2025-03-04T00:12:00
LA,LIM,MIA,6822,2025-01-06 00:49:00,0,Puntual,2025-01-06T00:49:00
LA,MAD,SCL,2588,2025-12-16 17:02:00,0,Puntual,2025-12-16T17:02:00
AR,MAD,MIA,8137,2025-12-07 07:00:00,0,Puntual,2025-12-07T07:00:00
G3,GRU,LIM,5811,2025-01-03 15:16:00,1,Retrasado,2025-01-03T15:16:00
AA,MIA,SCL,6987,2025-12-06 21:44:00,0,Puntual,2025-12-06T21:44:00
G3,BOG,GRU,10464,2025-03-07 12:02:00,0,Puntual,2025-03-07T12:02:00
AA,LIM,AEP,11555,2025-05-28 04:00:00,0,Puntual,2025-05-28T04:00:00
IB,MAD,BOG,7380,2025-09-28 07:53:00,1,Retrasado,2025-09-28T07:53:00
